F3_Haupteinkaufsstaette,Overall,Snacks,Regional,Private,Vegan,Branded,FruitVeggies,BreadnBaked,Flesh,Sausages,Dairy,Sweets,Alcoholic,SoftDrinks,Cosmetics,Utensils
Netto (Rot),4,1,4,2,3,1,5,5,4,1,3,1,2,1,4,4
Rewe,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Rewe,5,1,3,2,3,1,3,3,5,3,1,4,4,1,4,4
Aldi Nord,5,1,1,2,3,1,4,1,2,1,3,1,4,5,4,4
Rewe,3,4,4,3,3,4,3,1,4,5,1,2,4,1,4,4
Rewe,5,4,5,2,3,5,4,1,1,5,3,4,1,1,4,3
Andere,5,3,4,2,3,1,4,2,1,1,3,5,4,5,4,4
Aldi Süd,5,3,1,4,3,1,3,5,4,4,1,2,4,1,4,5
Edeka,3,1,4,2,3,1,5,5,4,4,2,4,4,5,4,4
Aldi Süd,4,1,4,2,3,2,3,5,4,3,4,5,4,1,4,2
Norma,5,1,1,2,3,1,4,5,4,4,3,1,4,5,4,4
Lidl,4,1,4,2,3,1,4,1,4,3,3,1,4,5,4,1
Rewe,3,4,4,4,3,2,4,5,4,3,2,2,4,1,4,4
Andere,3,1,4,2,3,5,3,5,4,4,4,3,4,2,4,4
Edeka,4,5,3,3,3,1,1,5,3,3,2,2,4,1,4,4
Edeka,2,5,5,2,4,2,2,4,5,2,5,3,3,3,3,5
Aldi Süd,2,1,4,2,4,1,3,4,5,2,1,3,4,1,4,4
Edeka,5,1,4,2,3,1,5,5,4,3,2,1,4,5,2,4
Alnatura,5,1,4,2,2,1,3,2,4,3,1,2,4,1,4,4
Aldi Süd,4,1,4,3,3,5,2,3,5,2,4,2,4,3,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,4,5,2,3
Kaufland,3,1,4,2,3,1,3,5,4,4,1,2,4,1,1,4
Netto (Rot),5,1,4,2,3,1,4,5,1,1,2,1,4,5,4,4
Netto (Rot),5,1,1,2,3,1,4,5,4,5,3,2,2,1,4,4
Kaufland,3,1,5,2,2,4,1,5,4,3,3,4,4,1,2,4
Rewe,4,1,3,2,3,1,5,5,4,3,1,1,2,1,4,4
Kaufland,3,1,4,2,4,4,1,5,3,1,2,2,3,5,1,4
Real,4,1,3,5,3,2,5,2,4,3,4,5,2,3,4,2
Kaufland,3,1,4,2,3,1,5,1,4,1,3,2,4,1,4,4
Rewe,3,1,5,2,4,2,5,5,4,3,4,3,4,4,4,4
Rewe,5,1,4,2,3,1,3,1,2,1,2,1,1,5,4,4
Andere,3,1,3,2,3,1,4,5,2,1,2,5,4,1,4,4
Kaufland,5,1,4,2,4,1,3,5,3,5,2,5,4,1,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,1,5,4,4
Edeka,4,1,5,2,4,2,5,5,4,4,1,2,4,1,4,4
Amazon,2,1,4,2,3,4,2,4,4,3,1,3,4,1,4,4
Aldi Süd,1,1,4,2,3,1,2,4,2,1,3,2,4,4,4,4
Lidl,5,1,1,2,3,1,1,1,2,3,1,2,4,3,4,4
Aldi Nord,5,1,4,2,2,1,3,1,1,1,3,1,4,5,2,4
Netto (Rot),3,1,3,2,3,5,3,5,4,4,1,2,1,1,4,4
Penny,5,1,4,2,3,1,1,2,2,1,3,1,1,5,2,4
Lidl,4,5,3,3,3,1,5,2,4,4,2,4,3,1,4,4
Rewe,3,1,5,2,3,1,1,1,4,4,1,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,5,4,3,3,1,4,1,2,4
Rewe,5,1,1,2,3,1,4,1,2,1,3,2,4,5,2,4
Rewe,3,1,1,2,3,1,1,1,4,1,3,1,4,5,4,4
Rewe,2,4,2,3,1,3,2,4,5,2,4,3,4,1,4,2
Penny,4,1,4,2,3,2,3,3,4,3,1,4,4,1,4,4
Netto (Rot),3,1,3,2,3,2,5,5,1,3,1,2,4,3,4,4
Rewe,5,4,4,3,2,1,1,3,1,1,3,5,1,2,3,4
Edeka,5,3,1,2,3,1,4,1,4,1,3,1,4,5,2,4
Rewe,5,1,4,2,3,1,4,5,2,1,3,2,1,5,4,4
Aldi Süd,5,1,1,2,3,1,4,5,4,1,2,1,4,5,2,4
Lidl,5,1,4,2,3,1,1,3,1,3,2,5,4,5,2,4
Rewe,5,1,4,2,3,1,4,1,2,1,3,1,4,5,2,4
Edeka,3,1,4,2,3,4,5,5,4,4,4,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,2,2,1,2,5,4,5,4,4
Aldi Süd,5,1,4,2,3,1,4,5,2,1,3,1,4,1,4,4
Andere,5,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Netto (Rot),4,1,4,2,3,1,5,3,4,4,4,3,4,1,4,4
Rewe,5,1,1,2,3,1,1,5,1,5,1,1,4,5,4,4
Lidl,4,1,4,2,3,1,3,1,4,4,1,2,4,3,4,4
Netto (Rot),4,1,3,2,3,2,2,3,4,4,1,2,4,1,4,4
Edeka,5,3,1,2,3,1,4,5,2,3,1,2,1,5,4,4
Netto (Rot),3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Aldi Süd,3,4,4,2,3,1,3,3,4,4,1,2,4,3,4,4
Kaufland,5,3,1,4,3,1,4,1,4,3,3,1,4,1,4,4
Aldi Süd,3,5,5,2,3,2,3,3,4,4,1,1,4,5,1,4
Edeka,4,1,5,2,4,3,5,5,4,2,4,3,4,1,3,4
Aldi Süd,4,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Aldi Süd,5,1,1,2,3,1,4,5,1,1,3,2,4,1,2,1
Rewe,3,1,4,2,3,1,4,3,4,1,3,2,4,1,4,4
Netto (Rot),5,1,1,2,3,1,1,5,4,1,3,2,4,1,4,4
Lidl,5,3,4,4,3,1,4,1,2,3,3,1,4,5,2,4
Aldi Süd,5,1,4,2,3,1,4,1,4,3,3,1,1,1,4,4
Edeka,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Edeka,2,1,5,3,4,2,2,4,5,2,5,3,4,4,3,4
Edeka,4,1,4,2,3,5,1,5,4,3,4,2,4,1,4,4
Famila,5,1,4,2,3,1,5,1,2,3,3,2,1,1,4,4
Rewe,5,3,1,4,3,1,1,1,1,3,2,5,1,1,2,1
Lidl,5,1,1,4,3,1,4,1,2,1,3,1,1,1,1,4
Netto (Rot),5,3,1,2,3,1,4,1,2,1,3,1,4,5,4,4
Rewe,4,1,4,2,3,4,3,5,4,4,1,4,4,4,4,4
Aldi Nord,2,5,5,2,4,2,2,4,5,2,5,3,3,4,3,2
Aldi Süd,5,1,4,2,3,1,3,5,4,3,2,5,4,3,4,4
Penny,3,1,4,2,3,1,1,5,4,3,2,2,4,1,4,4
Lidl,5,1,4,2,3,4,4,1,4,1,1,4,4,3,1,4
Edeka,5,1,1,2,3,1,4,1,2,1,3,1,1,5,4,4
Rewe,2,1,4,2,3,2,3,5,4,4,1,2,4,1,4,4
Lidl,3,1,4,2,4,5,5,3,5,2,1,4,2,4,1,4
Kaufland,4,1,4,2,4,2,5,3,4,4,1,4,3,1,3,4
Rewe,3,1,4,2,3,4,1,5,4,1,2,4,4,5,4,4
Lidl,5,3,1,2,3,1,4,1,2,1,3,1,1,5,2,3
Aldi Nord,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Aldi Süd,5,3,1,2,3,1,4,1,4,1,2,1,2,5,4,1
Edeka,3,1,4,2,3,1,3,5,4,4,2,2,4,1,5,4
Penny,5,3,4,2,3,1,4,1,2,1,3,1,4,5,4,4
Edeka,3,1,4,2,3,1,4,5,2,3,3,2,4,1,1,4
Netto (Rot),5,1,1,2,3,1,4,1,2,1,3,1,4,1,2,4
Aldi Nord,4,1,3,2,2,1,5,5,4,2,4,2,4,1,4,4
Edeka,2,1,4,2,4,1,2,5,4,3,3,5,4,5,4,4
Lidl,4,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Tegut,5,1,4,2,3,4,5,1,2,1,3,1,4,1,4,4
Aldi Nord,2,4,3,2,2,2,5,5,4,2,4,2,4,2,4,2
Edeka,5,1,4,2,3,4,1,5,4,3,1,2,4,1,4,4
Lidl,3,1,4,2,3,1,3,5,4,4,1,2,2,1,4,4
Netto (Rot),5,1,4,2,3,1,3,5,2,1,3,1,4,5,2,4
Kaufland,4,1,4,2,3,1,3,3,4,3,2,2,4,1,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,1,5,4,4
Rewe,5,1,1,2,3,1,4,5,2,1,3,1,1,5,4,4
Kaufland,3,1,4,2,3,1,5,5,4,4,2,2,2,1,4,2
Lidl,5,1,1,4,3,1,4,2,2,1,2,2,4,1,4,3
Lidl,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Aldi Süd,3,1,4,2,3,1,4,5,4,1,3,1,4,5,4,4
Edeka,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Netto (Rot),5,1,1,2,3,1,4,1,2,1,3,5,4,1,4,4
Norma,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Real,4,1,4,2,4,2,2,4,5,2,4,2,4,4,4,4
Penny,2,1,4,3,5,3,2,4,4,3,4,4,2,2,3,4
Famila,3,1,4,2,3,1,3,5,4,1,1,2,1,5,4,4
Aldi Süd,5,1,1,2,3,1,4,1,4,1,1,2,4,1,4,4
Kaufland,5,3,1,2,3,1,4,1,2,1,3,1,4,5,2,3
Netto (Rot),2,1,4,2,4,5,2,3,5,4,4,2,4,1,4,4
Aldi Nord,2,1,4,2,3,1,5,5,4,4,4,2,4,3,4,4
Lidl,5,1,4,2,3,1,4,1,2,3,3,1,4,5,4,4
Lidl,4,1,3,2,2,1,3,5,4,4,1,1,4,1,4,4
Lidl,2,5,4,2,4,1,3,5,4,3,1,2,4,1,4,4
Real,3,1,4,2,3,1,5,5,5,4,1,1,4,5,2,1
Rewe,3,1,3,5,3,4,3,3,4,4,4,4,3,1,4,4
Aldi Süd,5,1,4,2,3,1,4,5,4,3,2,2,4,1,4,4
Netto (Schwarz),1,1,4,2,3,1,3,5,4,3,3,1,4,4,4,4
Rewe,3,1,4,2,3,1,1,5,1,1,1,2,4,1,4,4
Lidl,5,3,4,2,3,1,4,1,4,1,2,5,4,5,4,4
Norma,5,1,1,2,3,1,4,1,2,1,3,2,4,1,4,3
Edeka,1,1,4,2,3,4,5,5,4,4,1,2,4,1,4,4
Lidl,5,1,4,5,3,1,4,5,4,3,3,2,4,1,4,4
Real,3,3,1,2,3,1,4,5,2,1,2,4,1,5,2,4
Rewe,3,1,1,2,3,1,4,5,4,3,3,1,1,5,4,4
Lidl,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Lidl,3,1,3,3,3,2,3,3,4,4,1,2,2,3,4,4
Netto (Rot),2,1,4,2,3,1,3,3,4,4,1,2,4,1,4,4
Penny,5,3,1,2,3,1,3,1,2,1,3,1,4,5,2,3
Netto (Rot),5,1,1,2,3,1,4,1,4,1,3,1,4,5,4,4
Edeka,5,1,4,4,3,1,3,5,3,4,2,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,1,2,1,3,2,1,5,4,4
Rewe,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Aldi Süd,3,1,4,3,3,1,5,3,4,3,1,2,4,1,4,4
Lidl,5,1,4,2,3,1,4,1,2,1,3,2,1,5,5,4
Kaufland,5,1,4,2,3,1,4,1,4,1,3,1,4,5,4,4
Kaufland,1,1,4,2,1,3,2,5,5,3,5,3,5,4,4,4
Kaufland,5,1,4,2,3,1,4,1,2,1,3,1,4,5,4,4
Lidl,3,1,5,2,3,1,5,5,5,4,1,2,4,1,4,4
Rewe,3,1,1,2,4,1,3,2,2,4,1,2,4,1,4,4
Kaufland,4,1,4,2,3,1,3,5,2,4,2,2,4,1,4,1
Edeka,5,1,4,2,3,1,3,1,2,1,3,1,4,1,4,4
Lidl,3,1,4,2,3,1,3,5,4,3,2,2,4,3,4,4
Edeka,1,1,4,2,1,1,2,4,4,3,1,3,5,4,3,4
Real,3,1,3,2,2,1,3,5,4,3,3,1,4,1,4,4
Edeka,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,1,4,1,1,2,4,5,2,4
Lidl,5,1,4,2,3,1,5,5,4,4,4,2,4,1,4,4
Rewe,1,1,5,2,4,3,2,3,4,2,5,2,4,1,1,5
Kaufland,3,3,4,2,5,1,3,5,4,4,1,2,4,1,4,4
Netto (Rot),5,1,1,2,3,1,5,1,2,1,3,1,1,5,2,4
Rewe,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Penny,4,1,3,2,3,1,2,2,4,4,1,2,4,5,4,4
Real,5,3,1,4,3,1,4,1,2,1,3,1,4,1,4,4
Edeka,4,1,4,2,4,1,4,2,4,1,3,5,4,1,4,4
Edeka,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Aldi Nord,3,1,4,2,3,1,4,5,4,3,1,2,4,1,4,4
Kaufland,5,1,1,2,3,1,4,1,2,3,3,1,4,5,4,3
Edeka,5,1,1,2,3,1,4,5,4,3,3,1,4,5,4,4
Lidl,5,3,1,2,3,1,4,5,4,1,3,2,4,5,2,4
Kaufland,4,1,5,2,2,4,5,3,4,3,1,2,4,3,4,4
Kaufland,5,1,1,2,3,1,4,1,2,1,3,1,1,5,2,4
Aldi Süd,5,3,4,2,2,1,4,5,2,1,3,2,4,5,4,3
Lidl,5,1,4,3,3,1,1,5,4,3,2,1,4,5,4,4
Aldi Süd,5,3,4,2,3,1,4,5,3,4,1,2,1,3,4,4
Edeka,3,1,4,2,3,1,5,5,2,1,3,1,1,5,4,4
Netto (Rot),5,1,4,2,3,1,4,5,4,1,3,2,4,1,4,4
Edeka,5,1,1,2,3,1,4,1,2,1,3,1,1,5,4,4
Lidl,5,1,3,2,3,1,4,5,4,3,2,5,1,3,4,1
Netto (Rot),5,1,4,2,3,1,1,2,1,1,3,5,4,5,2,4
Edeka,3,1,4,2,3,1,3,5,1,4,1,2,4,1,4,4
Andere,4,1,4,2,2,2,5,5,4,4,4,2,4,3,4,4
Netto (Schwarz),3,4,3,2,2,2,3,5,4,4,1,2,4,1,4,4
Netto (Rot),3,3,4,2,3,1,3,3,4,4,1,4,2,1,1,4
Lidl,5,1,4,3,3,1,3,5,4,4,3,5,4,5,4,4
Aldi Süd,3,1,4,3,3,1,5,2,5,3,2,2,4,1,4,4
Aldi Nord,3,1,4,2,2,1,3,5,4,4,1,2,4,1,4,4
Netto (Rot),3,1,4,2,3,1,2,3,4,4,1,1,2,1,4,4
Lidl,4,5,4,2,2,2,3,5,5,4,4,3,4,3,4,4
Aldi Nord,5,1,4,2,3,1,4,5,2,1,3,1,1,1,4,4
Kaufland,5,1,4,2,3,1,1,2,4,4,3,1,4,1,1,4
Edeka,3,1,4,2,3,1,1,5,4,1,3,2,1,5,2,4
Aldi Nord,3,1,1,2,3,1,4,1,1,3,3,1,4,1,4,4
Rewe,5,1,4,2,3,1,4,5,4,3,1,2,4,1,4,4
Lidl,4,1,3,2,4,2,4,5,4,5,1,2,4,1,4,3
Aldi Süd,3,1,4,2,4,2,5,5,4,3,4,4,4,1,4,4
Edeka,4,1,5,2,4,1,5,3,3,4,1,2,4,1,4,4
Kaufland,3,4,5,2,3,1,3,3,4,4,1,2,4,3,4,4
Kaufland,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Edeka,3,1,1,2,2,4,3,5,3,3,2,2,4,1,2,4
Netto (Rot),5,1,1,2,3,1,4,1,2,1,3,1,1,5,4,4
Rewe,3,2,5,2,3,1,5,5,4,3,3,2,4,2,3,2
Kaufland,5,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Aldi Süd,5,1,1,2,3,1,4,1,2,1,3,1,4,1,4,4
Netto (Rot),4,1,4,2,3,2,5,5,4,4,1,2,2,3,4,4
Netto (Rot),4,1,4,2,2,1,5,5,4,4,4,2,4,3,4,4
Netto (Schwarz),2,1,4,2,3,1,2,5,5,4,4,2,4,2,3,4
Kaufland,5,1,1,2,3,1,4,1,2,1,3,1,1,5,2,4
Netto (Rot),5,1,4,2,2,1,3,5,4,3,2,2,1,1,4,4
Aldi Süd,5,1,4,2,3,1,4,5,2,1,3,1,4,1,4,3
Andere,3,1,4,2,3,4,1,5,4,4,2,4,3,3,4,5
Edeka,3,4,5,2,4,2,5,5,5,2,5,4,3,4,3,4
Edeka,4,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Norma,4,1,4,2,3,1,3,5,4,3,2,2,4,3,4,4
Edeka,4,1,3,3,3,5,5,5,4,3,4,2,2,2,4,4
Edeka,4,1,4,2,4,2,5,3,5,4,4,3,3,3,1,4
Aldi Süd,4,5,3,2,3,1,5,5,4,4,1,3,4,1,4,4
Edeka,5,1,1,2,3,1,4,5,2,5,3,2,1,5,2,4
Aldi Nord,5,1,4,2,3,1,3,1,2,1,3,1,4,5,4,3
Aldi Süd,2,5,4,2,4,2,2,4,5,2,5,3,4,4,3,4
Edeka,5,1,4,2,3,1,4,2,2,1,3,1,4,5,2,3
Kaufland,2,4,5,3,3,4,2,4,5,4,4,3,4,3,4,2
Edeka,4,1,4,2,2,2,5,3,5,4,4,3,4,1,4,4
Aldi Nord,4,1,1,3,4,4,1,5,4,3,3,1,4,5,2,4
Denn's,3,1,4,3,3,1,2,5,4,3,3,2,4,5,4,2
Lidl,5,1,4,2,3,1,3,1,4,4,1,2,4,1,4,4
Lidl,4,1,4,2,1,3,3,4,5,2,1,2,4,1,3,1
Rewe,5,1,1,2,3,1,4,5,4,3,3,1,4,1,2,4
Netto (Rot),2,1,4,2,5,2,2,4,5,3,5,3,4,2,4,4
Rewe,3,1,4,2,3,1,3,5,4,3,1,2,4,4,4,4
Aldi Süd,5,1,4,2,3,1,4,5,1,3,2,2,4,1,4,4
Kaufland,2,1,3,2,4,4,3,5,4,2,4,3,4,1,1,4
Rewe,4,1,5,2,3,1,1,5,3,1,2,1,4,5,4,4
Kaufland,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Netto (Rot),2,5,5,2,4,2,2,4,5,4,4,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,1,2,1,3,1,4,1,2,4
Rewe,5,1,1,2,3,1,4,5,2,1,3,2,1,5,4,4
Aldi Süd,3,1,4,2,3,1,5,3,4,4,1,5,4,1,4,4
Edeka,5,1,4,2,3,1,4,5,2,3,3,1,4,1,4,4
Penny,3,1,4,2,3,1,4,2,4,3,3,5,4,5,4,4
Lidl,5,1,4,2,3,1,1,5,4,3,3,2,4,1,4,4
Rewe,5,1,4,2,3,1,4,1,2,3,3,5,4,1,1,5
Kaufland,5,1,5,2,3,1,3,5,2,1,2,5,4,1,2,4
Penny,3,1,4,1,3,1,3,1,5,3,2,3,2,1,2,4
Rewe,3,4,4,2,3,1,2,3,4,1,1,1,4,5,1,4
Edeka,5,4,4,2,3,4,1,1,4,3,3,1,1,5,4,4
Rewe,5,4,4,1,3,1,1,1,4,5,2,1,4,5,4,4
Netto (Rot),5,1,1,2,3,1,4,1,2,1,3,2,4,5,4,4
Rewe,3,1,3,2,4,4,5,3,4,4,4,4,5,3,3,4
Aldi Süd,5,4,1,1,3,1,4,2,4,3,1,2,4,5,2,1
Aldi Süd,5,1,1,2,3,1,4,5,4,5,3,2,4,5,4,4
Aldi Süd,2,1,3,2,4,1,3,3,4,4,4,2,4,1,4,4
Aldi Nord,3,1,4,3,3,1,3,1,4,4,1,2,4,1,4,4
Kaufland,3,1,4,2,3,1,5,5,4,4,1,2,4,1,4,4
Rewe,3,1,3,2,3,4,5,5,5,3,1,4,4,4,3,4
Penny,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Lidl,5,3,4,2,3,1,4,4,1,4,3,2,4,3,4,4
Aldi Nord,5,1,1,2,3,1,4,1,2,1,3,1,4,5,2,4
Rewe,3,1,1,2,3,1,3,1,5,3,1,2,4,3,4,4
Rewe,3,1,4,2,3,1,3,3,4,4,1,2,4,1,4,4
Penny,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Rewe,3,1,2,2,3,2,5,5,3,1,4,1,4,5,4,4
Edeka,5,1,4,2,3,1,4,1,3,1,3,1,1,5,2,4
Edeka,3,1,5,2,4,1,1,4,3,3,2,2,3,1,4,4
Rewe,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Kaufland,5,1,4,2,3,5,1,3,4,3,4,2,2,3,5,4
Kaufland,5,1,3,2,3,1,3,5,4,3,4,2,2,1,3,4
Edeka,5,3,1,2,3,1,4,1,2,1,3,1,1,5,2,3
Edeka,4,1,4,2,3,2,3,1,4,4,1,2,4,1,4,4
Edeka,5,1,4,2,3,1,4,1,2,1,3,2,1,1,4,4
Rewe,5,1,1,2,3,1,4,5,2,1,3,1,4,5,4,4
Kaufland,3,1,1,2,3,1,1,1,2,1,3,1,4,5,2,4
Budnikowsky,1,1,4,2,1,3,3,5,4,2,5,2,4,4,3,4
Lidl,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Rewe,3,1,4,2,3,1,3,5,4,4,1,2,4,1,4,4
Aldi Nord,3,1,4,2,3,1,5,5,3,3,3,2,4,1,4,4
Norma,4,1,3,2,3,5,3,3,5,4,2,5,2,3,4,4
Aldi Nord,5,1,4,2,3,1,4,1,4,3,3,1,4,1,4,1
Edeka,4,1,5,2,4,1,4,1,2,1,3,2,4,5,3,4
Lidl,3,1,3,1,3,2,5,2,4,3,1,2,4,3,4,4
Edeka,3,1,4,2,3,1,3,5,2,3,1,2,4,1,1,4
Norma,5,1,1,4,3,1,1,5,4,5,3,5,4,1,4,3
Kaufland,4,1,4,2,3,1,4,5,4,3,1,2,4,1,4,4
Edeka,4,1,4,2,4,1,3,5,4,3,4,2,4,1,4,4
Aldi Süd,5,1,4,2,3,1,3,2,4,3,2,1,4,5,2,4
Rossmann,5,3,1,4,3,1,4,1,2,1,3,2,4,5,2,3
Andere,5,1,1,2,3,1,1,1,4,3,2,2,4,1,4,4
Kaufland,3,1,4,2,3,1,5,1,4,1,2,5,4,5,2,4
Andere,5,5,4,2,3,1,4,5,2,1,3,1,4,5,2,4
Edeka,3,1,4,2,3,1,1,5,2,1,3,2,4,5,2,4
Kaufland,5,1,1,2,3,1,4,1,2,3,3,1,4,5,4,4
Lidl,3,1,4,2,3,1,3,5,4,4,1,2,4,1,1,4
Lidl,5,1,1,2,3,1,4,2,2,3,3,2,4,5,4,4
Penny,5,5,4,2,3,2,3,2,4,4,2,2,4,1,4,3
Penny,4,1,3,2,3,1,5,3,4,4,1,2,4,1,1,4
Netto (Rot),2,1,4,2,3,3,3,2,4,4,1,2,4,1,4,4
Kaufland,3,4,4,2,3,2,1,5,3,3,1,4,4,3,4,4
Rewe,3,1,4,2,3,1,1,5,4,3,3,1,4,1,4,4
Rewe,3,1,4,2,3,1,4,2,1,1,2,2,4,1,4,4
Penny,4,1,4,2,3,1,3,5,4,4,1,5,4,5,2,4
Penny,5,3,1,2,3,1,4,5,2,1,3,1,4,5,4,4
Aldi Süd,4,1,4,2,3,1,3,2,4,3,4,2,4,3,4,4
Netto (Rot),2,1,4,2,3,1,2,5,5,2,1,3,4,4,3,4
Lidl,5,1,1,2,3,1,4,1,4,1,2,1,4,5,4,4
Kaufland,4,1,3,2,3,5,5,5,4,3,1,3,4,5,3,4
Rewe,3,1,4,2,3,1,3,5,4,3,1,2,4,1,4,4
Globus,1,1,4,2,3,1,1,5,2,1,2,2,4,1,4,4
Rewe,5,1,4,2,2,1,4,2,1,3,3,1,4,1,4,4
Edeka,5,1,1,4,3,1,4,1,2,3,3,1,4,5,2,4
Lidl,5,1,4,3,3,5,4,1,4,4,3,5,4,1,4,4
Real,3,1,4,2,3,1,4,1,3,1,3,1,4,5,2,4
Lidl,3,1,4,2,4,2,3,5,4,4,1,2,4,1,3,4
Aldi Süd,5,3,1,4,3,1,4,1,2,1,3,1,4,5,2,3
Edeka,5,1,4,2,3,1,4,5,3,5,3,1,4,5,2,4
Lidl,2,1,4,3,4,1,3,5,4,3,1,2,3,4,3,2
Edeka,3,1,4,2,3,1,1,1,2,1,3,2,4,1,4,4
Edeka,4,1,3,3,3,2,1,5,4,3,4,2,2,2,4,2
Rewe,3,1,4,2,3,5,4,4,4,5,5,2,1,4,4,4
Netto (Rot),4,1,3,2,3,2,5,2,5,4,1,2,4,3,1,2
Lidl,2,5,5,2,4,2,2,4,5,2,5,3,3,4,3,2
